Location,Nizamabad,Adilabad,"Kuda, warangal","Mee-Seva, Warangal",Karimnagar,Khammam
Jan-22,56,-,58,73,82,80
Feb-22,59,-,64,72.51405262,90.33333333,78.0793
Mar-22,64,56,49.10582565,76.05774698,95.66666667,76.51851852
Apr-22,58,65,66.17393005,60.08003077,69.92621533,79.36573096
May-22,56.22222222,60.14814815,53.70453041,77.09464995,76.24128215,76.61111111
Jun-22,54,58,72,85,89,81
Jul-22,46,48,40.42857143,47.26863695,69.19779102,72.5
Aug-22,53,56,43,56,55,58
Sep-22,54,56,41,48,58,42
Oct-22,63,65,64,64,63,57
Nov-22,56,58,49,94,101,78
Dec-22,59,62,116,94,126,115
